interval_size,HE_just,HE_ET,HE_multiplier
0,1.0,1.0,1.0
1,3.4758244036287866,3.467892797534244,1.0005499281952706
2,2.935693465340662,2.9640818569785243,0.9980342013556402
3,2.5657037875264885,3.0803261408215783,0.9649578056405131
4,2.0409937431481677,2.7488109713006357,0.9521219519524736
5,1.4286344557220085,1.568810067675428,0.9903308170646793
6,2.748079153147623,2.9090266248796803,0.9889059690987722
7,0.6494479452075836,0.817666012308828,0.9884077263279274
8,2.6693342220464435,2.861531289271399,0.9867662607016716
9,1.68502864202291,2.6245528304264933,0.9369523477508631
10,2.712293468542323,3.176566435755021,0.9683313468391105
11,3.185491758656513,3.207111462762701,0.9985025585913233
12,0.02549167850031073,0.025491678500310755,1.0
13,3.003920162570451,3.097286188662952,0.9935492561847357
14,2.6792759679611367,2.742629639634052,0.9956182859537697
15,2.893504982223326,3.1179853408559968,0.9845606353863198
16,1.2445298939164715,2.3081674237167458,0.9289264304576128
17,2.296767779689001,2.378085153903585,0.9943793643446693
18,3.054589093482389,3.008598188123196,1.0031929332248564
19,0.13326388135919387,0.29126265682536445,0.9891081103186502
20,3.063490308316929,3.1134687264327923,0.99654175359563
21,2.560115205361499,2.9517345219208897,0.9732201313953753
22,2.3961846204824884,3.2556662696985215,0.9421651246663223
23,2.8658811643734756,2.9912593588420178,0.9913470995100427
24,0.29586662760009974,0.29586662760009963,1.0
25,3.0312012886312045,3.0328665641079007,0.999884578561414
26,1.7755678468278382,1.9753750851965477,0.9862458818516784
27,2.966943862075284,2.8753778926084723,1.0063670534116917
28,0.3183292059554832,1.385311217503302,0.9287111100106804
29,2.4582879827313087,2.4789538447724073,0.9985685770637475
30,2.7836425203670805,2.587946031580542,1.01365706416436
31,0.27401208150085593,0.4215108559115732,0.9898282497924723
32,2.612701948791689,2.455291912530022,1.010970572487301
33,2.219875011313364,2.425174569184315,0.9858704909070578
34,0.3515263276912572,2.6137768284456926,0.8548688140887928
35,1.555830372052415,2.0535694640327438,0.9660877167277517
36,0.3048731852531892,0.3048731852531894,1.0
37,1.7626610817472037,1.8835609069146562,0.9916548781762842
38,0.37817843412160373,0.6429898452225251,0.9818121047454477
39,1.8402218128053978,1.4277796284132311,1.029000881723342
40,0.327528121776331,1.187067665138816,0.9421613438439921
41,2.082347979892893,2.0924675251126157,0.9992988125231554
42,2.003936021063756,2.165431924258469,0.9888683771737063
43,0.35656950223873124,0.46906075995557095,0.9922330202736628
44,2.0721467375709284,2.2884147302857145,0.9851212440888117
45,1.7968995616818133,1.4237625101044147,1.0262012622273973
46,0.30716108287527694,1.833706140288207,0.8995937195928304
47,0.4016047580707431,1.0010857683907086,0.9592986281520821
48,0.35145386314091154,0.3514538631409114,1.0
49,0.2630536546582035,0.45430357383739906,0.9868310453158089
50,0.3314220421796593,0.48795332827484117,0.9892087261399141
51,0.40385382366367456,0.5100089807392815,0.9926688898686582
52,0.4791054628436988,1.0742766516015887,0.959585246141354
53,1.6536839874761335,1.6316006425212823,1.0015318729497722
54,1.1586410070371127,0.9312990758322574,1.0158829561330824
55,0.32258522263933415,0.3699311363879818,0.9967236104542386
56,1.284984428188619,1.101130360497911,1.0128253410365333
57,0.4758902502558432,0.6286778956069549,0.9894654486283262
58,0.5278288094431247,1.3627929242942847,0.9437676258388372
59,0.6311837731916273,0.9562374320142772,0.9777209247209
60,0.7979810948756693,0.7979810948756693,1.0
