pst_num,pst_den,psi_den,interval_size,interval_mod,cons_degree,HE_multiplier,pst_num_ET
2.0,2.0,2.0,0,0,1.0,1.0,2.0
9.98447757411655,22.641045504,6.75961975116387,1,1,0.1304777916759186,1.000549928195271,9.989968319849604
9.527380952380952,16.8,5.546825396825396,2,2,0.2044794881752959,0.9980342013556402,9.508652039820463
7.783333333333333,11.0,4.733333333333333,3,3,0.2989756722151088,0.9649578056405131,7.510588253901994
6.416666666666667,9.0,4.366666666666666,4,4,0.3265479219677693,0.9521219519524736,6.109449191695039
5.833333333333334,7.0,3.916666666666666,5,5,0.4255319148936171,0.9903308170646793,5.77692976621063
7.635873015873016,14.22,5.199007936507936,6,6,0.20657065013277,0.9889059690987722,7.551160404677069
4.5,5.0,3.333333333333333,7,7,0.54,0.9884077263279274,4.447834768475674
8.092857142857143,13.0,5.001190476190476,8,8,0.2489517147931812,0.9867662607016716,7.985758381249958
5.583333333333334,8.0,4.116666666666666,9,9,0.3390688259109312,0.9369523477508631,5.231317274942319
7.601190476190476,13.8,5.112301587301587,10,10,0.2154845111015865,0.9683313468391105,7.360471011390143
10.5166389988678,19.1611392,6.036086136086136,11,11,0.1818570774485302,0.9985025585913233,10.50089094815079
3.0,3.0,2.5,12,0,0.8,1.0,3.0
9.381574699528752,19.17109003724551,6.767066927081707,13,1,0.1446300239106624,0.9935492561847357,9.321056564558326
7.851190476190476,12.8,4.912301587301586,14,2,0.2497298852896034,0.9956182859537697,7.816788804601322
8.706911688311688,11.9906,5.386544011544011,15,3,0.2696143523144297,0.9845606353863198,8.57248250409673
5.083333333333334,7.0,3.783333333333333,16,4,0.3838892385147892,0.9289264304576128,4.722042688159532
7.067857142857143,8.875,4.551190476190476,17,5,0.3499648163635226,0.9943793643446693,7.028131292993216
7.818285149352114,13.43096213962998,5.862746229948242,18,6,0.1985789823404926,1.003192933224856,7.843248411766882
3.5,4.0,2.833333333333333,19,7,0.6176470588235294,0.9891081103186502,3.461878386115276
8.128458286211567,12.42727456,5.664062326562327,20,8,0.2309586646740179,0.99654175359563,8.100348074570205
6.663412698412698,9.565,4.762301587301587,21,9,0.2925666631805774,0.9732201313953753,6.484967381890818
6.700996116763299,10.7675865152,4.935649277193395,22,10,0.2521777122339009,0.9421651246663223,6.313444841738836
8.840448522677324,15.1611392,5.401562326562327,23,11,0.2159002118572385,0.9913470995100427,8.763953001324007
4.166666666666666,4.5,3.083333333333333,24,0,0.6006006006006006,1.0,4.166666666666666
6.487373379566212,15.463129088,5.522885855974091,25,1,0.15192716751503,0.999884578561414,6.486624597598098
6.517857142857142,10.8,4.328968253968254,26,2,0.2788217679591774,0.9862458818516784,6.428209765640403
8.3135626816761,10.65284340505139,6.05929151108684,27,3,0.2575904640131335,1.006367053411692,8.36649557931178
4.083333333333334,6.0,3.283333333333333,28,4,0.4145516074450086,0.9287111100106804,3.792237032543612
7.07689406996559,8.55586896,5.214062326562327,29,5,0.3172724395841652,0.9985685770637475,7.066764041476412
7.675694297983995,11.66809735998757,6.54095227704661,30,6,0.2011437953557959,1.01365706416436,7.780521747517575
5.05,5.75,3.45,31,7,0.5091367359798362,0.9898282497924723,4.998632661451985
7.689730833639326,10.66909526827925,6.341828528769853,32,8,0.2272997957708754,1.010970572487301,7.774091583157601
6.727846359650963,8.624690672859998,5.431072990477015,33,9,0.2872611490895827,0.9858704909070578,6.632785193336357
4.449999999999999,8.0,3.592857142857143,34,10,0.3096421471172962,0.8548688140887928,3.804166222695127
7.50711518934399,13.1611392,4.818228993228994,35,11,0.2367675369477061,0.9660877167277517,7.252531772485559
5.267261904761905,5.9375,3.717857142857143,36,0,0.4772199470819219,1.0,5.267261904761905
5.154040046232879,13.463129088,4.939552522640758,37,1,0.1550044500852784,0.9916548781762842,5.111028954162756
5.517857142857142,9.8,3.828968253968254,38,2,0.2940983627361194,0.9818121047454477,5.417498935113273
7.978244529206339,10.18072022401415,6.742130508397452,39,3,0.2324671980249008,1.029000881723342,8.209620655157753
5.163412698412698,7.565,3.928968253968254,40,4,0.3474396525603474,0.9421613438439921,4.864767846757641
6.954910466135833,8.179795019520352,5.891828528769853,41,5,0.2886217259988437,0.9992988125231554,6.950033770014404
7.808114557134904,11.18074476191415,7.226569554959611,42,6,0.1932739184733595,0.9888683771737063,7.721197570900386
5.60422554112554,6.3861,4.103210678210678,43,7,0.4277461108990998,0.9922330202736628,5.560697634965797
7.538453490607219,10.18074626611415,7.027224237039102,44,8,0.2107408996526632,0.9851212440888117,7.426290681172629
7.076303884243122,8.180587301214025,6.111876372269709,45,9,0.2830592984414351,1.026201262227397,7.261711977914926
4.890814613830614,8.257864,4.251562326562327,46,10,0.2786088583445899,0.8995937195928304,4.399746110294855
6.50711518934399,12.1611392,4.318228993228994,47,11,0.2478212606121401,0.9592986281520821,6.242266674365266
5.440801441101121,6.14687056,4.380728993228994,48,0,0.4041033191212771,1.0,5.440801441101121
4.154040046232879,12.463129088,4.439552522640758,49,1,0.1501531276957201,0.9868310453158089,4.099335681107723
5.868658900193267,8.535173030400001,4.495108078196314,50,2,0.3059260052259435,0.9892087261399141,5.805328594809851
7.952301704715792,10.1517843123216,7.430096480888775,51,3,0.2108560220468866,0.9926688898686582,7.894002505120863
5.227846359650963,6.624690672859997,4.597739657143682,52,4,0.3432755176406037,0.959585246141354,5.01656423581485
6.945576031920276,8.151784204021602,6.577224237039102,53,5,0.2590854013726072,1.001531872949772,6.956215771964161
7.841969875513898,11.1517843124216,7.915936939905889,54,6,0.1776676992333435,1.015882956133082,7.966523539043639
5.808372549167713,6.175072581554845,4.775958177753507,55,7,0.3938962789734439,0.9967236104542386,5.789342058069733
7.528909387327896,10.1517843124216,7.716480425922506,56,8,0.1922208197663331,1.012825341036533,7.625470217853533
7.151241135803708,8.151784309321602,6.79881261227885,57,9,0.2580629554604805,0.9894654486283262,7.075906018687356
5.035048192304106,6.664372888057349,4.927171038966368,58,10,0.3066738179948064,0.9437676258388372,4.751915478434975
6.532054832428349,8.713189239847047,4.994987130920391,59,11,0.3001706994714249,0.9777209247209,6.386526691089469
5.445527982918385,6.15164753977469,5.05849519543652,60,0,0.3499912633569746,1.0,5.445527982918385
5.255280833578658,12.463129088,4.439552522640758,61,1,0.1899588943050283,0.9934155226579044,5.22067755600361
5.138147365525126,8.535173030400001,4.495108078196314,62,2,0.26784533307014,0.994604363069957,5.110423787847695
8.308865391253615,10.1517843123216,7.430096480888775,63,3,0.2203103414806116,0.9963344449343291,8.278408787628727
4.363500828696782,6.624690672859997,4.597739657143682,64,4,0.2865200892774701,0.979792623070677,4.275325922719893
6.552560001132345,8.151784204021602,6.577224237039102,65,5,0.2444250311434719,1.000765936474886,6.557578845841092
8.991708420761734,11.1517843124216,7.915936939905889,66,6,0.20371618007384,1.007941478066541,9.063115875965947
4.598234708732222,6.175072581554845,4.775958177753507,67,7,0.3118304699438902,0.9983618052271193,4.590701904667898
8.264168394128413,10.1517843124216,7.716480425922506,68,8,0.2109927403403348,1.006412670518267,8.317163783147432
6.759150904041511,8.151784309321602,6.79881261227885,69,9,0.2439138081874085,0.994732724314163,6.723548592827751
4.403691210378427,6.664372888057349,4.927171038966368,70,10,0.2682192394545715,0.9718838129194186,4.279876204462315
5.765997210550524,8.713189239847047,4.994987130920391,71,11,0.2649676801928807,0.98886046236045,5.701766667594057
4.510222738991726,6.15164753977469,5.05849519543652,72,0,0.2898779621356556,1.0,4.510222738991726
6.356521620924434,12.463129088,4.439552522640758,73,1,0.2297646609143365,1.0,6.356521620924434
4.407635830856984,8.535173030400001,4.495108078196314,74,2,0.2297646609143365,1.0,4.407635830856984
8.665429077791439,10.1517843123216,7.430096480888775,75,3,0.2297646609143365,1.0,8.665429077791439
3.499155297742601,6.624690672859997,4.597739657143682,76,4,0.2297646609143365,1.0,3.499155297742601
6.159543970344415,8.151784204021602,6.577224237039102,77,5,0.2297646609143365,1.0,6.159543970344415
10.14144696600957,11.1517843124216,7.915936939905889,78,6,0.2297646609143365,1.0,10.14144696600957
3.38809686829673,6.175072581554845,4.775958177753507,79,7,0.2297646609143365,1.0,3.38809686829673
8.99942740092893,10.1517843124216,7.716480425922506,80,8,0.2297646609143365,1.0,8.99942740092893
6.367060672279314,8.151784309321602,6.79881261227885,81,9,0.2297646609143365,1.0,6.367060672279314
3.772334228452746,6.664372888057349,4.927171038966368,82,10,0.2297646609143365,1.0,3.772334228452746
4.9999395886727,8.713189239847047,4.994987130920391,83,11,0.2297646609143365,1.0,4.9999395886727
3.574917495065066,6.15164753977469,5.05849519543652,84,0,0.2297646609143365,1.0,3.574917495065066
6.356521620924434,12.463129088,4.439552522640758,85,1,0.2297646609143365,1.0,6.356521620924434
4.407635830856984,8.535173030400001,4.495108078196314,86,2,0.2297646609143365,1.0,4.407635830856984
8.665429077791439,10.1517843123216,7.430096480888775,87,3,0.2297646609143365,1.0,8.665429077791439
3.499155297742601,6.624690672859997,4.597739657143682,88,4,0.2297646609143365,1.0,3.499155297742601
