nchord,indet_value
2,0.22976466091433653
3,0.2525615555238824
4,0.2518254320706334
5,0.24900096068428887
6,0.24723953160936823
7,0.2449779941403039
8,0.24299095069266283
9,0.24089411711849748
10,0.23887777991000358
11,0.2368473779153025
12,0.23484957282240834
13,0.23230711686837244
14,0.22976466091433653
15,0.22976466091433653
16,0.22976466091433653
17,0.22976466091433653
18,0.22976466091433653
19,0.229764660914337
20,0.229764660914337
21,0.229764660914337
22,0.229764660914337
23,0.229764660914337
24,0.229764660914337
